fecha,vuelo,origen,destino,pasajeros,retraso_minutos,combustible_litros,temperatura,tripulacion,equipaje_kg,carga_kg,velocidad_crucero,altitud_crucero,distancia_km,duracion_prevista,duracion_real,escala_tecnica,puerta_embarque,terminal,tipo_avion,capacidad_maxima,asientos_business,asientos_turista,ocupacion_percent,precio_medio,ingresos,costes_operacion,satisfaccion_media,incidencias,clima_origen,clima_destino,visibilidad_origen,visibilidad_destino,viento_origen,viento_destino,presion_origen,presion_destino,humedad_origen,humedad_destino,conexiones,equipaje_perdido,comidas_servidas,bebidas_servidas,peliculas_disponibles,wifi_disponible,asientos_preferentes,mascotas_abordo,asistencias_especiales,edad_media_pasajeros,satisfaccion_comida,satisfaccion_vuelo,satisfaccion_tripulacion,consumo_entretenimiento,uso_wifi_percent,compras_abordo,nivel_combustible_llegada,tiempo_taxi_despegue,tiempo_taxi_aterrizaje
2023-01-01,VY1652,MAD,XRY,177,26,4680,8,5,3599.6,1639.7,804,9153,771,137,156,true,C18,T4,A330,250,25,225,70.8,291.0,51507.0,37258.3,3.7,0,Nublado,Lluvia,10,2,18.4,19.0,1016.4,1014.1,81,84,4,0,159,354,55,false,25,7,4,48.3,3.8,4.8,4.8,58.3,80.2,1690.0,1311,13,10
2023-01-02,VY5096,MAD,IBZ,271,8,4364,16,4,3652.8,1541.2,805,11070,993,107,122,false,C18,T4,A321,220,22,198,123.2,114.7,31083.7,33625.1,3.8,2,Lluvia,Nublado,10,10,14.2,19.5,1019.4,1015.6,71,76,2,2,243,542,61,true,22,5,10,35.1,4.4,4.9,4.5,67.9,77.7,1385.4,2382,12,11
2023-01-03,VY6616,MAD,BJZ,249,26,5310,9,7,2551.1,1221.6,876,9361,587,142,150,false,B14,T4,A350,300,30,270,83.0,186.5,46438.5,27247.0,4.6,3,Soleado,Nublado,10,10,20.5,14.9,1009.0,1010.5,76,83,1,2,224,498,63,true,30,8,7,42.2,3.9,3.9,4.2,51.7,89.7,2102.0,2005,15,9
2023-01-04,IB9490,BCN,VLC,157,14,4169,21,4,2965.5,1488.5,814,11038,1297,107,109,false,B22,T1,A321,220,22,198,71.4,298.6,46880.2,37877.8,3.9,1,Soleado,Lluvia,10,10,15.7,21.7,1015.2,1015.5,86,63,4,2,141,314,41,false,22,2,8,34.0,4.1,4.8,3.8,51.6,74.5,1088.6,1859,12,6
2023-01-05,IB7614,MAD,FUE,242,7,6571,9,3,2872.0,826.3,884,10062,720,86,86,true,A18,T4,A330,250,25,225,96.8,263.2,63694.4,45994.4,3.9,2,Soleado,Lluvia,10,6,15.5,20.1,1009.3,1019.3,72,73,5,1,217,484,47,true,25,4,5,46.7,4.0,4.7,3.9,75.7,62.1,2419.3,2027,14,11
2023-01-06,IB2599,MAD,CDG,190,10,4491,8,6,3591.6,1882.4,837,11502,1145,133,137,true,B15,T4,A330,250,25,225,76.0,259.0,49210.0,32660.7,4.0,0,Nublado,Lluvia,10,10,17.1,18.6,1018.2,1009.0,72,81,1,0,171,380,59,false,25,2,9,34.5,4.7,4.3,4.1,58.0,77.7,2361.3,1387,15,7
2023-01-07,IB8851,BCN,SVQ,167,19,6005,20,8,2142.8,1694.6,864,10313,746,57,83,false,B17,T1,A321,220,22,198,75.9,163.6,27321.2,37324.9,3.8,1,Lluvia,Lluvia,6,3,20.3,18.9,1019.4,1015.8,80,86,5,2,150,334,60,false,22,2,8,33.9,3.9,4.5,3.9,56.5,73.2,1328.7,1844,7,5
2023-01-08,IB7159,BCN,TFN,175,16,5530,10,8,3173.9,2050.9,862,11018,605,147,149,false,C24,T1,A330,250,25,225,70.0,281.9,49332.5,17691.3,4.9,2,Soleado,Nublado,10,10,18.2,15.6,1017.9,1009.1,81,70,2,0,157,350,49,false,25,5,2,38.5,3.8,4.3,4.6,68.9,79.4,1957.4,1794,9,8
2023-01-09,IB3113,BCN,SCQ,173,15,7096,8,8,3642.5,1463.7,858,12127,872,79,85,true,C24,T1,A319,180,18,162,96.1,107.7,18632.1,25232.8,3.8,3,Soleado,Soleado,10,10,15.7,16.1,1014.8,1010.3,69,67,1,2,155,346,47,true,18,1,3,36.6,4.8,4.5,3.9,71.1,67.9,2405.3,1908,11,9
2023-01-10,VY5175,BCN,VLC,273,28,5835,17,5,2984.7,2079.9,860,10818,1160,95,100,true,C11,T1,A320,200,20,180,136.5,247.5,67567.5,27262.8,3.9,2,Soleado,Nublado,10,10,17.6,16.0,1009.9,1017.2,84,67,3,2,245,546,52,false,20,6,7,44.9,4.4,4.3,3.8,64.2,89.6,1747.8,2020,12,9
2023-01-11,VY2884,MAD,LCG,147,27,6710,17,7,2802.4,1709.3,807,10988,877,81,98,true,B1,T4,A321,220,22,198,66.8,235.9,34677.3,24878.4,4.3,2,Nublado,Soleado,10,10,17.8,12.7,1016.7,1015.0,61,68,1,0,132,294,63,false,22,1,4,46.2,3.7,4.0,4.0,77.0,62.2,1925.0,2248,11,10
2023-01-12,IB3330,BCN,LHR,267,24,4206,13,5,1701.0,1208.1,877,9211,1261,52,58,false,A5,T1,A330,250,25,225,106.8,125.0,33375.0,28761.8,4.2,3,Soleado,Lluvia,10,9,16.4,21.7,1008.6,1009.7,80,63,4,1,240,534,57,true,25,0,8,34.9,4.6,4.9,4.7,60.1,68.6,1549.6,1983,6,5
2023-01-13,VY2560,MAD,ACE,229,1,5965,15,8,3690.7,1774.0,823,10232,1166,108,114,false,A15,T4,A320,200,20,180,114.5,160.6,36777.4,46971.3,4.7,2,Lluvia,Soleado,9,10,12.7,15.4,1018.9,1008.7,78,65,2,0,206,458,43,false,20,1,10,41.3,4.1,4.6,4.1,51.2,65.9,1940.0,1450,14,8
