fecha,vuelo,origen,destino,pasajeros,retraso_minutos,combustible_litros,temperatura,tripulacion,equipaje_kg,carga_kg,velocidad_crucero,altitud_crucero,distancia_km,duracion_prevista,duracion_real,escala_tecnica,puerta_embarque,terminal,tipo_avion,capacidad_maxima,asientos_business,asientos_turista,ocupacion_percent,precio_medio,ingresos,costes_operacion,satisfaccion_media,incidencias,clima_origen,clima_destino,visibilidad_origen,visibilidad_destino,viento_origen,viento_destino,presion_origen,presion_destino,humedad_origen,humedad_destino,conexiones,equipaje_perdido,comidas_servidas,bebidas_servidas,peliculas_disponibles,wifi_disponible,asientos_preferentes,mascotas_abordo,asistencias_especiales,edad_media_pasajeros,satisfaccion_comida,satisfaccion_vuelo,satisfaccion_tripulacion,consumo_entretenimiento,uso_wifi_percent,compras_abordo,nivel_combustible_llegada,tiempo_taxi_despegue,tiempo_taxi_aterrizaje
2023-01-01,VY8170,MAD,FUE,206,12,6118,14,8,3741.1,1001.6,875,10937,1122,123,136,false,C9,T4,A350,300,30,270,68.7,257.9,53127.4,20506.4,4.0,2,Soleado,Soleado,10,10,12.3,22.0,1014.9,1017.3,60,84,3,2,185,412,41,false,30,8,2,34.2,4.0,4.7,4.7,74.9,77.0,1250.8,2256,13,10
2023-01-02,IB5631,MAD,SPC,238,14,7166,20,7,3214.9,2164.0,853,10991,531,94,113,true,A22,T4,A330,250,25,225,95.2,289.9,68996.2,48773.6,4.7,1,Soleado,Lluvia,10,6,19.9,16.3,1008.2,1014.5,89,86,4,0,214,476,46,false,25,6,4,38.5,3.8,4.9,4.5,69.0,65.6,1275.1,2121,6,6
2023-01-03,VY9504,MAD,ACE,196,19,7155,22,7,3331.4,2174.0,831,9075,678,52,77,false,A25,T4,A350,300,30,270,65.3,238.0,46648.0,15737.2,4.5,2,Nublado,Nublado,10,10,15.9,20.5,1014.3,1015.1,60,83,3,1,176,392,41,true,30,4,1,36.7,4.8,3.9,3.7,62.7,61.2,1060.1,2075,7,7
2023-01-04,VY4712,BCN,ORY,243,10,4691,20,5,3622.0,1455.1,857,10895,779,85,99,true,B5,T1,A321,220,22,198,110.5,204.0,49572.0,15684.6,4.5,2,Soleado,Nublado,10,10,19.0,13.8,1012.6,1016.0,88,78,3,1,218,486,56,false,22,4,3,39.2,4.1,4.0,4.2,55.8,87.5,2226.2,2242,13,6
2023-01-05,IB3961,BCN,SCQ,247,17,6987,16,8,2183.6,2072.6,825,9534,1201,65,68,true,C3,T1,A320,200,20,180,123.5,257.1,63503.7,44689.4,3.8,3,Soleado,Lluvia,10,10,19.1,14.6,1012.0,1015.1,83,80,5,0,222,494,54,false,20,5,7,44.8,3.7,4.0,4.4,69.3,69.5,1704.9,2193,9,12
2023-01-06,IB3670,BCN,ORY,200,28,7312,18,8,2565.9,1802.2,862,10018,581,119,151,false,C3,T1,A330,250,25,225,80.0,172.3,34460.0,20232.1,4.6,0,Lluvia,Lluvia,3,10,15.4,14.0,1017.2,1012.1,69,74,1,0,180,400,64,true,25,3,7,46.6,3.9,3.9,4.5,71.2,88.9,1285.5,2388,14,5
2023-01-07,VY8518,BCN,MXP,170,9,6504,14,5,1946.6,1142.9,808,11007,816,93,104,true,C19,T1,A330,250,25,225,68.0,270.5,45985.0,19783.0,4.2,2,Lluvia,Lluvia,8,7,21.5,18.0,1014.1,1010.6,82,70,4,2,153,340,53,true,25,1,7,38.0,4.6,4.7,4.6,67.8,74.5,753.0,1838,14,12
2023-01-08,IB7804,MAD,LPA,164,13,6476,16,6,3508.4,1642.8,888,11516,1110,142,155,true,C18,T4,A319,180,18,162,91.1,164.7,27010.8,30230.3,4.7,3,Lluvia,Nublado,7,10,15.2,20.8,1008.5,1013.9,78,76,1,0,147,328,53,false,18,5,7,33.4,4.2,4.3,3.9,72.2,66.9,1408.3,1888,7,5
2023-01-09,IB9060,MAD,FCO,155,13,5887,21,7,3659.6,1468.3,848,10099,549,73,89,true,B24,T4,A321,220,22,198,70.5,222.5,34487.5,29075.4,4.9,2,Nublado,Nublado,10,10,16.7,21.5,1010.9,1010.5,77,71,1,0,139,310,52,false,22,0,4,39.8,4.6,3.9,3.8,66.0,60.7,899.9,1867,10,12
2023-01-10,IB4237,BCN,VGO,155,21,7460,18,8,3628.9,2334.1,824,11140,1226,90,114,true,A13,T1,A319,180,18,162,86.1,209.0,32395.0,18411.2,3.8,1,Nublado,Soleado,10,10,21.9,17.4,1018.9,1012.2,70,69,1,0,139,310,56,false,18,1,6,43.4,4.3,4.8,4.5,77.5,80.1,1249.8,1712,10,11
2023-01-11,VY3492,MAD,XRY,212,4,5837,15,6,3311.6,1171.0,826,9793,848,64,64,true,A17,T4,A321,220,22,198,96.4,142.5,30210.0,42294.0,3.9,3,Lluvia,Lluvia,6,5,16.3,16.4,1013.5,1014.5,71,67,3,2,190,424,50,false,22,2,3,45.9,4.3,3.9,4.8,63.1,68.6,1647.5,1766,6,11
2023-01-12,VY4177,BCN,VLC,198,14,4697,22,7,2861.2,2050.3,860,10966,793,91,96,true,A10,T1,A320,200,20,180,99.0,220.5,43659.0,21448.1,4.1,3,Soleado,Soleado,10,10,17.9,16.1,1019.2,1012.9,74,89,3,1,178,396,40,true,20,3,6,43.6,3.9,4.8,4.9,78.9,89.9,1786.6,2300,12,7
2023-01-13,IB7805,BCN,LIS,273,25,7467,14,6,1840.5,2126.8,803,10938,602,119,120,false,A20,T1,A319,180,18,162,151.7,238.9,65219.7,25900.2,4.7,0,Lluvia,Lluvia,6,7,15.7,14.5,1019.3,1011.8,60,82,2,0,245,546,55,false,18,4,2,42.2,4.2,4.9,4.8,63.9,71.0,2012.7,1703,14,6
2023-01-14,VY2606,MAD,LHR,271,8,6724,9,3,3575.8,2308.4,806,11270,1199,110,121,true,C5,T4,A319,180,18,162,150.6,281.1,76178.1,41035.8,4.0,0,Soleado,Soleado,10,10,17.5,12.8,1009.6,1016.1,62,88,5,1,243,542,54,false,18,8,2,40.7,4.0,3.8,4.9,54.2,80.3,2495.1,1806,8,9
2023-01-15,IB3785,MAD,TFN,235,12,5449,20,7,3257.2,1151.9,806,10279,418,119,122,true,A17,T4,A320,200,20,180,117.5,182.8,42958.0,38917.1,4.4,3,Nublado,Lluvia,10,8,14.0,15.0,1011.8,1015.7,82,60,4,1,211,470,65,false,20,8,2,45.9,3.8,4.1,3.9,63.6,76.4,2030.9,1344,15,8
