content,title,artDate
" Posle nesreće izazvane obrušavanjem nadstrešnice na Železničkoj stanici u Novom Sadu, novih žrtava nema, a troje povređenih je u teškom opštem stanju, potvrđeno je za Tanjug u Univerzitetskom kliničkom centru Vojvodine (UKCV). „Troje povređenih koji su juče primljeni u UKCV i dalje su u teškom stanju, na intenzivnoj nezi“, rečeno je iz Pres-službe Kliničkog centra za Tanjug. Portparolka Dečje bolnice Andrea Đuretić rekla je da ni sinoć u tu bolnicu nisu primljene dve devojčice. Povezane vesti U Srbiji danas Dan žalosti, u Novom Sadu trodnevna Vesti 08:16 27 Vesti 08:16 27 Završena akcija spasavanja: 14 stradalih i troje teško povređenih u urušavanju nadstrešnice na Železničkoj stanici Vesti 23:31 602 Vesti 23:31 602 „Povodom informacije koju prenose mediji da su dve devojčice preminule, mi ne znamo da li su devojčice bile na Železničkoj stanici i možda su među 14 poginulih, ali u bolnicu nisu primljene i nema novih žrtvi“, rečeno je iz Dečje bolnice u Novom Sadu. Za dalje informacije za javnost, nadležna je policija. Mediji prenose da su tokom noći dve devojčice preminule u Urgentnom centru u Novom Sadu. Prema poslednjim zvaničnim podacima, četrnaestoro ljudi je juče poginulo, a troje je povređeno u nesreći izazvanoj urušavanjem nadstrešnice na staroj zgradi Železničke stanice u Novom Sadu. Vlada Srbije proglasila je 2. novembar za Dan žalosti zbog ove tragedije, dok je u Novom Sadu proglašena trodnevna žalost.","UKCV: Nema novih žrtava, troje povređenih i dalje u teškom stanju",2024-11-02
" Urušavanje nadstrešnice Železničke stanice u Novom Sadu prilikom čega je najmanje jedna osoba stradala dok je više njih povređeno, znak je nebrige i nemara prilikom gradnje, kaže za  arhitekta Slobodan Maldini. Neko je u tom lancu veoma pogrešio i istraga će sigurno pokazati o čemu se radi, navodi on. Komentarišući da je došlo do urušavanja nadstrešnice na stanici koja je nedavno renovirana i puštena u rad, Maldini kaže da se kod nas ruši čak i novogradnja te da nam to još jednom govori o našoj nebrizi, odnosno o nemaru prilikom gradnje. „Ovo znači prvo da je loš projekat, da je možda dobar projekat, ali je loše izveden, da je možda dobro izvedeno, a da je bio loš nadzor nad svim tim, možda da je bio dobar nadzor, a da je na kraju zaključak tog nadzora bio pogrešan. Svakako, neko je u tom lancu veoma pogrešio i videćemo, istraga će sigurno da pokaže o čemu se radi. Da li je loš projekat, da li je loš izvođač, ili je nešto treće, može da bude i neka viša sila u šta sumnjam“, kaže on. Urušila se nadstrešnica Železničke stanice u Novom Sadu: Više ekipa Hitne na terenu, ima povređenih Vesti 12:37 98 Vesti 12:37 98 Završena akcija spasavanja: 14 stradalih i troje teško povređenih u urušavanju nadstrešnice na Železničkoj stanici Vesti 23:31 597 Vesti 23:31 597 (VIDEO) Bagerima se podiže otpala betonska konstrukcija na Železničkoj u Novom Sadu Vesti 13:26 35 Vesti 13:26 35 Prema rečima arhitekte, građani treba da budu zabrinuti jer je ovo, pre svega, jedan neverovatan propust. „Neverovatno je tako nešto da se desi u 21. veku, kada imamo mehanizaciju, kada imamo sve elemente – imamo standardizaciju materijala, gradnje, svega toga. To je prosto neverovatno. Znamo da se dešavaju slučajevi rušenja mostova, ali to se zna zbog čega se to desilo, da li je zbog korozije, da li je zbog više sile, zemljotresa i tako dalje. U ovom slučaju ne znamo još uvek, vrlo je rano da dajemo nekakve preliminarne zaključke, ali moguće je i da je ljudski faktor. Ako je ljudski faktor, onda smo stvarno, stvarno na ivici nepoverenja u institucije ovde u Srbiji“, objašnjava Maldini. Kaže da veruje da će se saznati šta je dovelo do ove nesreće. „Da li će to ustanoviti državni organ – sigurno hoće, s druge strane verovatno ćemo imati nezavisne komisije. Imaćemo i stručne komisije koje će se sigurno time baviti i samo se nadam da će rezultat svega toga biti da mi promenimo naš odnos prema izgradnji onakvoj kakva jeste danas – a to je prebrza, uštede u materijalima, uštede u radnoj snazi, nepoštovanje propisa. Sve to dovodi do ovakvih situacija što je veoma, veoma loše, pogotovo za našu građevinsku industriju i naravno za naše građane“, kaže Maldini.",Arhitekta: Urušavanje dela Železničke stanice znak nebrige i nemara prilikom gradnje,2024-11-01
" Centar za lokalnu samoupravu (CLS) saopštio je danas da Javno-komunalno preduzeće Gradska čistoća duguje budžetu Beograda 1,55 milijardi dinara na osnovu neuplaćene dobiti, zaključno sa 2023. godinom. „Ovakvom praksom i poslovanjem Gradske čistoće ugrožava se realizacija svih drugih prioriteta u beogradskom budžetu, što negativno utiče na svakodnevni život Beograđana“, ističe CLS u saopštenju. Nikola Jovanović: Talas poskupljenja komunalnih usluga u Beogradu Vesti 06. avg 2024 3 Vesti 06. avg 2024 3 Centar je upitao Gradsku čistoću gde se troši ovolika dobit, ako ne ide u budžet, a ne ide ni u čišćenje grada koji nikada nije bio prljaviji, i zašto je u avgustu podigla cene svojih usluga, ako je preduzeće imalo „dobit“ prošle godine od 650 miliona dinara.","CLS: JKP Gradska čistoća duguje budžetu Beograda 1,55 milijardi dinara",2024-11-01
" Zvaničnici Evropske unije i više država, među kojima su i susedne, uputili su saučešće građanima Srbije povodom pogibije ljudi usled pada betonske nadstrešnice na Železničkoj stanici u Novom Sadu. Komesar evropske Unije Oliver Varhelji napisao je na društvenoj mreži X da želi brz oporavak povređenima u nesreći. „Porodicama nastradalih upućujem najdublje saučešće i želim brz oporavak svima povređenima u tragičnoj nesreći u Novom Sadu. Moje misli i molitve su sa ljudima Srbije“, izjavio je Oliver Varhelji, komesar za susedstvo i proširenje. I send my deepest condolences to the families of the victims and wishing fast recovery to all those injured in the tragic accident in Novi Sad/ Újvidék. My thoughts & prayers are with the people of #Serbia 🇷🇸. — Oliver Varhelyi (@OliverVarhelyi) November 1, 2024 Toninu Picula , član Evropskog parlamenta, izjavio je saučešće stradalima. Moja iskrena sućut obiteljima preminulih u ovoj tragičnoj nesreći u Novom Sadu. / My sincere condolences to the families of the victims to this terrible tragedy in Novi Sad. https://t.co/Rx2VJDnrxh — Tonino Picula (@TPicula) November 1, 2024 Premijer Mađarske Viktor Orban izjavio je saučešće predsedniku Srbije. „Želim da izjavim najdublje saučešće narodu Srbije nakon tragičnog urušavanja krova na Železničkoj stanici u Novom Sadu. Naše misli i molitve su sa porodicama žrtava!“, naveo je. I would like to express my deepest condolences to President @avucic and the people of Serbia upon the tragic collapse of a roof at the train station in Novi Sad. Our thoughts and prayers are with the families of the victims! — Orbán Viktor (@PM_ViktorOrban) November 1, 2024 Među zvaničnicima koji su izrazili saučešće su evropski komesar za proširenje Delegacije EU u Srbiji Emanuele Žofre, premijer Mađarske Viktor Orban, predsedavajući Predsedništva Bosne i Hercegovine (BiH) Denis Bećirović, predsednik Crne Gore Jakov Milatović, ambasadori Japana i Norveške u Beogradu. Predsednik Srbije Aleksandar Vučić rekao je večeras da su telegrame saučešća uputili i predsednik Francuske Emanuel Makron i kancelar Austrije Karl Nehamer. Varheji je napisao na Iksu da članovima porodica žrtava upućuje najdublje saučešće, da želi brz oporavak svim povređenima u tragičnoj nesreći u Novom Sadu, i da su njegove misli i molitve sa narodom Srbije. Žofre je na Iksu izrazio najdublje saučešće, navodeći da je u mislima sa članovima porodica žrtava i povređenima u Novom Sadu, gde je život izgubilo najmanje 14 osoba. „Duboko me je rastužila vest o teškoj nesreći na Železničkoj stanici u Novom Sadu. Moje misli su sa povređenima i članovima porodica žrtava. Stojimo uz građane Novog Sada u ovom teškom trenutku“, naveo je Žofre. I Orban je na Iksu izrazio najdublje saučešće narodu Srbije i njenom predsedniku Aleksandru Vučiću, navodeći da su njegove misli i molitve sa članovima porodica žrtava. Bošnjački član Predsedništva BiH Denis Bećirović naveo je da je sa tugom primio vest o nesreći na železničkoj stanici u Novom Sadu, prenosi Anadolija. „U ime građana Bosne i Hercegovine, i u moje lično ime, izražavam duboko saučešće porodicama stradalih i građanima Srbije. Povređenima u ovoj tragičnoj nesreći želim brz oporavak“, naveo je Bećirović. Srpska članica Predsedništva BiH Željka Cvijanović uputila je telegram saučešća Vučiću povodom nesreće, navodeći da je ta tragedija „duboko pogodila i ožalostila sve u Republici Srpskoj, koji istinski saosećaju s onima koji su izgubili najmilije“. „Molim Vas da porodicama stradalih prenesete izraze saučešća i reči saosećanja i podrške zbog bola koji ih je zadesio, a povređenima poželite brz i uspešan oporavak“, navela je Cvijanović. Vlada Republike Srpske proglasila je 2. novembar Danom žalosti na području tog entiteta BiH zbog pogibije građana u Novom Sadu. Crnogorski predsednik Milatović napisao je na Iksu da ga je „duboko potresla vest o tragičnom gubitku života u Novom Sadu“ i da je Crna Gora mislima uz građane tog grada i cele Srbije. „U ime građana Crne Gore i u svoje lično ime, izražavam najdublje saučešće porodicama stradalih, a povređenima želim brz oporavak“, naveo je Milatović. Predsednik Skupštine Crne Gore Andrija Mandić poslao je Vučiću i premijeru Srbije Milošu Vučeviću izraze saučešća povodom nesreće u Novom Sadu, prenosi portal CdM. „Ne postoje reči utehe koje možemo da pružimo porodicama stradalih u ovoj katastrofi. Neka je pokoj nevinim dušama stradalih u ovoj nesreći, a povređenima želim brzo ozdravljenje“, naveo je Mandić. Ambasadorka Norveške u Srbiji Kristin Melsom navela je na Iksu da je juče posetila Novi Sad i da je sa velikom tugom saznala današnju tragičnu vest. „Upućujem iskreno saučešće porodicama koji su izgubili živote i izražavam solidarnost sa građanima Novog Sada“, navela je Melsom. Ambasador Japana u Srbiji Akira Imamura izrazio je „najiskrenije saučešće porodicama čiji su voljeni izgubili živote u tragičnoj nesreći“ i dodao da se „najiskrenije nada brzom oporavku povređenih“. Ministarstvo spoljnih poslova Rumunije objavilo je na Iksu da izražava najdublje saučešće zbog gubitka života u tragičnoj nesreći u Novom Sadu i solidarnost sa ljudima u Srbiji, i da povređenima želi brz oporavak. Podsetimo, trinaest osoba je stradalo u urušavanju nadstrešnice Železničke stanice u Novom Sadu, izjavio je ministar unutrašnjih poslova Ivica Dačić koji navodi i da je akcija spasavanja još u toku. Gradonačelnik Novog Sada Milan Đurić izjavio je da je više od 30 ljudi povređeno. Inače, ispod nadstrešnice nalazile su se klupe i veliki broj građana je bio na njima u trenutku pada. Dan žalosti proglašen je u subotu u celoj Srbiji, a tri dana u Novom Sadu. Sve o tragediji koja se dogodila u Novom Sadu čitajte u našem BLOG-u . Patrijarh Porfirije izjavio saučešće porodicama stradalih: „Svaki izgubljeni život nemerljiv gubitak“ Vesti 18:32 11 Vesti 18:32 11 Pravila ponašanja tokom dana žalosti: Šta kaže zakon i kolike su kazne za kršenje Vesti 17:54 3 Vesti 17:54 3 Sociološkinja Vasić: Apelujem na medije da ne izveštavaju senzacionalistički, potrebna nam je solidarnost Vesti 17:52 7 Vesti 17:52 7",Zvaničnici EU i više država izrazili saučešće građanima Srbije povodom nesreće u Novom Sadu,2024-11-01
" Pravni fakultet u Beogradu saopštio je da informacija da je jedna ""studentkinja propala kroz plafon čitaonice"", ne odgovara istini. (FOTO) Devojka propala kroz pod čitaonice na Pravnom fakultetu u Beogradu Vesti 31. okt 2024 12 Vesti 31. okt 2024 12 „Naime, koleginica je, u želji da iskoristi jednu od plastičnih utičnica koje se nalaze na podu galerije čitaonice Pravnog fakulteta nehatno nagazila na plastičnu utičnicu. Tom prilikom je utičnica polomljena, upala je neznatno u pod, a preko utičnice je i koleginicino stopalo neznatno utonulo u pod galerije čitaonice. Pod pritiskom je sa poda galerije, tj. plafona čitaonice (gledajući iz prizemlja) pao manji komad maltera na drugu koleginicu koja je u tom trenutku učila u delu čitaonice u prizemlju“, saopštili su. Kako su istakli, obe koleginice su nepovređene nakon ovog događaja i normalno su nastavile sa učenjem, a izuzev polomljene plastične utičnice na podu galerije čitaonice nije nastala ni materijalna šteta. Fotografija sa Pravnog fakulteta objavljena je Instagram stranica moj_beo_grad i na njoj se može videti rupa na plafonu u učionici ispod čitaonice i patika devojke koja je ostala zaglavljena. View this post on Instagram A post shared by MOJ – BEOGRAD (@moj_beo_grad_)","Pravni fakultet: Koleginica nagazila na utičnicu, upala neznatno u pod, komad maltera pao na drugu",2024-10-31
" Zaštitnik građana Zoran Pašalić pozvao je nadležne da preduzmu sve potrebne mere da bi se u najkraćem roku utvrdila odgovornost za pogibiju 14 ljudi na koje se danas srušila betonska nadstrešnica Železničke stanice u Novom Sadu. „Kao čovek, duboko sam potresen ovom tragedijom koja je odnela živote mnogih građana. Međutim, gotovo jednako je potresan, neshvatljiv i poražavajuć uzrok ove tragične nesreće, koji je bez presedana, što sve nas poziva na odgovornost i hitno postupanje“, naveo je Pašalić u pisanoj izjavi. Zato, dodao je on, uz svo uvažavanje Dana žalosti u čitavoj Srbiji, a tokom naredna tri dana i u Novom Sadu, apeluje na sve nadležne organe i institucije da postupaju u skladu sa razmerama te tragedije kako bi se u najkraćem roku utvrdile okolnosti i činjenice koje su uzrokovale smrt velikog broja ljudi, kako bi se utvrdila odgovornost i krivci sankcionisali. „Tu nema mesta odlaganju i drugog puta da kao država i društvo pokažemo svu ozbiljnost u ovakvoj sutuaciji“, rekao je Pašalić. Zaštitnik građana je naveo i da su takvi događaji poziv i podsetnik na potrebnu solidarnost svih građana i istovremeno je izrazio poštovanje prema svim službama koje se bore da pomognu preživelima. Podsećamo, danas nešto pre 12 sati na železničkoj stanici u Novom Sadu obrušila se nadstrešnica koja je pala i ubila 14 ljudi . Troje povređenih u ovoj nesreći je u kritičnom stanju i lekari im se bore za život. Sve o tragediji koja se dogodila u Novom Sadu čitajte u našem BLOG-u . Povezane vesti: Novosadski novinar: Procedura nema, ugovori tajni, ofrlje urađeni poslovi kojim rukovode vlasnici pečenjara Vesti 22:39 31 Vesti 22:39 31 Opozicija pozvala Novosađane da se u subotu okupe ispred Železničke stanice Vesti 22:05 11 Vesti 22:05 11 Dačić: Završena akcija spasavanja, 14 poginulih i troje povređenih Vesti 21:45 20 Vesti 21:45 20",Pašalić: U najkraćem roku utvrditi odgovornost za tragediju u Novom Sadu,2024-11-01
"youtube/printscreen/ Vojska Srbije — zvanični kanal Jurišnik-bombarder ""orao"" (J-22), zajednički proizvod vojnih industrija tadašnje SFRJ i Rumunije, svoj prvi let je imao na današnji dan pre 50 godina, bio je tehnološki iskorak za obe vojske u tom vremenu, a na međunarodnim mitinzima proslavio ga je probni pilot, sada pukovnik u penziji Miodrag Ristić. Piloti „orla“ okupili su se, u velikom broju, danas na aerodromu „Lađevci“ kod Kraljeva, da obeleže pola veka od prvog leta aviona sa kojim su se „srodili“, a Ristić, koji je 29 godina bio u toj letelici, za FoNet je izjavio da mu je to bila najbolja i najlepša „kancelarija“ u životu, na njemu je 1991. godine počeo i završio odlaskom i penziju. Od 2004. godine on je sa „orlom“ za devet godina učestvovao na 15 međunarodnih aeromitinga u inostranstvu i dobijao mnogo nagrada i priznanja, jer to što je radio sa letelicom koja je zastarela, niko od kolega nije ranije video. „Orao“ je vrlo „pitom“ za upravljanje, a od svih aviona koje naša vojska ima – „galebova“, MiG-21, MiG-29 najbrže se okreće oko uzdužne ose, što daje prostora za akrobacije, objašnjava Ristić. On je istakao da je sa „orlom“ prošao ratove, „otpadali su delovi, zakazivale komande, hidro-servo pokretači, ali da je letelica opstajala, tako da bi i sad, kako tvrdi, bilo dovoljno da ima brzinomer i visinomer da se obavi zadatak. Ristić je skeptičan prema najavama o modernizaciji „orla“, jer smatra da je to bespotrebno, pošto letelici ističe rok upotrebe, pa nema smisla to raditi, samo je pitanje koliko se ko u to „ugradio“. Ovo što sad kao modernizuju, to je britansko-francuski avion, čija je donekle kopija „orao“, imao je sedamdesetih godina. U vreme SFRJ dosta delova je uvezeno i ostavljeno u skladištima, tako da on i sad može da leti. A oni pod modernizacijom smatraju da „kupiš kineski tablet i staviš ga iznad komandne table“, objasnio je on. Na pitanje koliko je najniže od zemlje publiku oduševljavao svojim „bravurama“, Ristić je odgovorio da je to bilo 10 metara, iako je najmanje dozvoljeno 100, a ponegde i 200, ali da je svesno kršio pravila, da bi pokazao sposobnost letelice, pa je zbog toga bio i opominjan, a neke figure je izvodio kao niko pre, jer nije bilo dozvoljeno. Ristiću je žao što nije dobio svog naslednika na akrobatskom letenju na „orlu“, što „nikom nije preneo zanat“, jer to se ne uči samo tako. Pukovnik u penziji Zoran Puhač bio je jedan od onih čija je jedinica na aerodromu „Cerklje“ u Sloveniji prva primila „orlove“, i tvrdi da je ta letelica bila izuzetno sredstvo u naoružanju JNA, i u tehnološkom smislu, i zbog održavanja, i upravljanja, a da je tako potvrđuje da je i posle 50 godina u upotrebi, što govori o kvalitetu. Zahvalan je za letenje, čak i u najtežim meteorološkim uslovima, ili kad je otežano održavanje. Tada je, kad je uveden u upotrebu, to bio kvalitativno skok, da jedna mala zemlja može da proizvede takvu letelicu. Međutim, velike sile su nam limitirale snagu motora, a pokretala su ga dva britanskog proizvođača, kao i naoružanje, ali ta dva motora, iako slabija, davala su mu visoku žilavost, što je pokazano u ratovima početkom devedesetih, kao i u NATO agresiji, naglasio je on. Puhač je rekao da je njegovo iskustvo sa „orlom“ jako pozitivno, pošto je lagan za upravljanje, a kao primer naveo je jednu „stresnu situaciju“, kada je zbog tehničkog kvara morao da se katapultira, jer je zahvaljujući kvalitetu sedišta „Martin-Bejker“, koja su bila i danas su broj jedan u svetu, uspeo da preživi. Dignuti migovi Vojske Srbije zbog nepoznate letelice iznad Valjeva Vesti 30. mar 2024 405 Vesti 30. mar 2024 405 On smatra da je modernizacija „Orla“ uvek moguća, ali da to pre svega zavisi od finansija države, ali i od geopolitike. Autor knjige „Orao – Pogled iz jugoslovenskog ugla“ Aleksandar Radić rekao je FoNetu da je „orao“ sada nasleđe jugoslovenske ere i preostali avion od koristi su za održavanje eskadrile lovačko-bombarderske avijacije do nabavke nove tehnike. Plan modernizacije pokrenut 2016. godine vrlo je neobičan potez jer za početak nema čak ni dovoljno dvoseda NJ-22 koji su osnova za taj projekat – umesto minimalno potrebnih 13 aviona, naša avijacija ima samo sedam dvoseda i pride četiri komada povučena su iz muzejske kolekcije. Iza tog plana su interesi nekih ličnosti da izvuku novac iz državne kase, a priča o modernizaciji je samo paravan za to. Gotovo neobjašnjivo je da se nastavlja rad na pokušaju da se poboljša borbena moć prestarelih aviona, a potpisan je ugovor za nabavku Rafala, ukazao je Radić. On je podsetio da je rad na projektovanju aviona pokrenut 1968. godine u Vojnotehničkom institutu u Žarkovu, a projektu su se 1970. pridružili rumunski stručnjaci na osnovnu međudržavnog dogovora o zajedničkom razvoju i proizvodnji aviona, pa su paralelno izrađena dva prototipa, po jedan za svakog partnera, koja su poletela 31. oktobra 1974. godine. Proizvodnja aviona podeljenja je u odnosu pola-pola između partnera, a po polovinu jugoslovenskog dela konstrukcije izrađivali su „Soko“ Mostar i „Utva“ Pančevo, dok su motori po licenci britanskog „Rols-Rojsa“ izrađivani u zavodu „Orao“ iz Rajlovca, a hidraulični sistemi u fabrici „Prva Petoletka“ Trstenik. Za JNA je izrađeno 115 komada letelica – dva prototipa, 26 izviđača jednoseda IJ-22, devet dvoseda INJ-22, 57 jurišnika jednoseda J-22 i 21 dvosed NJ-22. Proizvodnja je prekinuta zbog građanskog rata 1991. godine, a poslednja tri aviona montirana su na aerodromu Batajnica leta 1992. godine od gotovih elemenata prevezenih iz Mostara. „Orlovi“ su izveli stotine borbenih zadataka od 1991. do 1999. godine i pokazali su se kao žilava borbena platforma. Vojska Srbije još ima 12 aviona u 241. lovačko-bombarderskoj eskadrili sa aerodroma Lađevci i Tehničkom opitnom centru na batajničkom aerodromu, naveo je Radić.","Pola veka „orlovog“ leta: Piloti sa emocijama o bombarderu J-22, „modernizacija nema smisla“",2024-10-31
" Direktorka Kliničkog centra Vojvodine Vesna Turkulov rekla je da su tri osobe koje su izvučene iz ruševina nakon što se obrušila nadstrešnica Železničke stanice u Novom Sadu u veoma teškom stanju, od kojih su dve u operacionoj sali. „U vrlo teškom stanju, prva osoba koja je dovezena je reanimirana, po stabilizaciji je na dijagnostici, radi se o vrlo teškim povredama, poslednja je došla intubirana i ona je već u operacionoj sali“, rekla je Turkulov. Građevinski inženjer o nesreći: U svakom koraku neko je mogao da napravi grešku Vesti 01. nov 2024 80 Vesti 01. nov 2024 80 Ministar Vesić: Nadstrešnica nije rekonstruisana, što se može videti iz građevinske dozvole Vesti 01. nov 2024 286 Vesti 01. nov 2024 286 Kako je rekla, prvi pacijent je stigao oko 14 časova i on je odmah otišao u salu. Upravnik Urgentnog profesor Nikolić rekao je da su tri osobe primljene s teškim povredama, a i da su u toku dve operacije. „To su procedure za spasavanje života, učestvuje ceo tim KCV, teške povrede s upitnim ishodom“, rekao je. „Kad je bila dojava da jedna od povređenih osoba ne može da se odobodi, krenuli smo da pokušamo da uradimo, svom srećom ona je oslobođena i mi smo se vratili i ona je u sali. Što se tiče odziva zdravstvenih radnika, on je neverovatan, da je bilo i više povređenih mi bismo ih zbrinuli, učinili smo sve što smo mogli“, dodao je profesor Nikolić. Opširnije o tragediji u Novom Sadu čitaje u našem BLOGU.","Direktorka KC Vojvodine: Tri osobe u veoma teškom stanju, sve su životno ugrožene",2024-11-01
"Google Povodom najčešćih predloga, primedaba i sugestija na izmene i dopune Krivičnog zakonika koji su podneti Ministarstvu pravde u toku javne rasprave, ministarstvo je danas saopštilo da će pojedine odredbe biti precizirane. Kako je u saopštenju navedeno, reč je naročito o onim odredbama koje se odnose na uvođenje novog krivičnog dela o objavljivanju materijala kojim se savetuje izvršenje krivičnog dela, brisanje iznuđivanje iskaza i člana kojim je propisano krivično delo Zloupotreba u vezi sa javnim nabavkama. Povezane vesti Jerinić: U izmenama Krivičnog zakonika tri grupe problematičnih rešenja Vesti 31. okt 2024 2 Vesti 31. okt 2024 2 Fond za humanitarno pravo traži produženje roka za javnu raspravu o Krivičnom zakoniku Vesti 31. okt 2024 0 Vesti 31. okt 2024 0 Ministarstvo pravde je ukazalo da je u pogledu propisivanja novog krivičnog dela, ministarka Maja Popović u okviru javne rasprave istakla da će ono biti precizirano taksativno, navođenjem da će se kažnjavati objavljivanje sadržaja kojima se savetuje izvršenje krivičnih dela vezanih za pedofiliju, ubistvo, droge, nedozvoljeno korišćenje oružja, terorizam, falsifikovanje isprave, falsifikovanje novca. U pogledu brisanja krivičnog dela Iznuđivanje iskaza Ministarstvo pravde je imajući u vidu navode koji su izneti u dosadašnjoj javnoj raspravi zauzelo stav da je predmetna inicijativa u tom pogledu delimično osnovana, ali da su radnje izvršenja ovog krivičnog dela sadržane u odredbama kojim je propisano krivično delo Zlostavljanje i mučenje. U pogledu predloženih izmena krivičnog dela Zloupotreba u vezi sa javnim nabavkama Ministarstvo pravde je objasnilo da će se za vrednost javne nabavke do pet miliona dinara odgovarati za prekršaj, dok bi za javne nabavke u vrednosti većoj od ovog cenzusa odgovaralo za krivično delo Zloupotreba u vezi sa javnim nabavkama. Imajući u vidu predloge koji su izneti u toku javne rasprave Ministarstvo pravde će preispitati predložena rešenja u Nacrtu zakona u pogledu brisanja cenzusa procenjene vrednosti javne nabavke, kao uslova za postojanje ovog krivičnog dela. „Ministarstvo pravde detaljno razmotriti sve ostale predloge, primedbe i sugestije koji budu dostavljeni u toku javne rasprave o izmenama i dopunama Krivičnog zakonika“, naveli su u saopštenju.",Ministarstvo pravde će precizirati članove Krivičnog zakonika na koje su stigle primedbe,2024-10-31
" Potpredsednik Vlade i ministar unutrašnjih poslova Ivica Dačić izjavio je da je policija u Beogradu uhapsila državljanina Švajcarske, koji je na uglu ulica Takovske i Trga Nikole Pašića pokazivalo simbol Velike Albanije - dvoglavog orla, dok se za drugim licem, koje ga je slikalo, traga. Policija je u Beogradu uhapsila lice B. C. (32), državljanina Švajcarske, koje je na uglu ulica Takovske i Trga Nikole Pašića pokazivalo simbol Velike Albanije – dvoglavog orla, dok se drugo lice koje ga je slikalo udaljilo sa mesta događaja. To drugo lice je, takođe, identifikovano i u pitanju je G. V. (33), državljanin Švajcarske, i za njim se traga. Sledi dalji rad na ovom slučaju, izjavio je Dačić.",Uhapšen švajcarski državljanin zbog pokazivanja simbola Velike Albanije u Beogradu,2024-11-02
